Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy,GDP Per Capita,Literacy Rate,Life expectancy
Madagascar,Africa,Sub-Saharan Africa,Eastern Africa,13302769993,4.713662899,486000,68.682,65.417,0.1812,27691019,17.8807947,5.214149952,5.487370014,30570,0,480.4001612,5.350759983,67.0495
Malawi,Africa,Sub-Saharan Africa,Eastern Africa,11770810654,13.78216439,871000,67.413,61.101,0.0358,19129955,22.91666667,0.635389984,1.018350005,18320,0,615.3078067,0.826869994,64.257
Malaysia,Asia,South-eastern Asia,South-eastern Asia,3.30425E+11,84.21322418,26101000,78.317,74.234,1.5358,32365998,14.86486486,48.74293137,37.71022034,306670,0,10209.02204,43.22657585,76.2755
Maldives,Asia,Southern Asia,Southern Asia,3759281687,63.18566588,1703000,80.779,77.523,4.5627,540542,4.597701149,59.77832031,16.61779022,2380,0,6954.652344,38.19805527,79.151
Mali,Africa,Sub-Saharan Africa,Western Africa,16749289498,12.72064096,217000,60.085,58.529,0.1286,20250834,27.89115646,3.234220028,7.737530231,43740,0,827.0913434,5.48587513,59.307
Malta,Europe,Southern Europe,Southern Europe,13329361715,85.77859638,3519000,84.7,80.6,2.8598,525285,13.43283582,68.76969147,50.39825821,2040,1,25375.48515,59.58397484,82.65
Marshall Islands,Oceania,Micronesia,Micronesia,292637300,38.70116262,6099.999905,67.8,62.8,0.4233,59194,6.060606061,27.40300941,24.34725952,240,0,4943.698686,25.87513447,65.3
Mauritania,Africa,Sub-Saharan Africa,Western Africa,7746329271,20.80096366,30000,66.515,63.305,0.1865,4649660,20.26143791,4.360280037,7.128009796,14080,0,1665.999078,5.744144917,64.91
Mauritius,Africa,Sub-Saharan Africa,Eastern Africa,11895691998,63.99989817,1418000,77.56,71.07,2.5331,1265740,20,47.45722961,33.86000824,6740,0,9398.211321,40.65861893,74.315
Mexico,Americas,Latin America and the Caribbean,Central America,1.03839E+12,70.06991047,97406000,77.879,72.203,2.3827,128932753,48.2,42.30899811,40.74708176,679880,0,8053.763625,41.52803993,75.041
